Date_reported,ind_cum_cases,usa_cum_cases,brazil_cum_cases,russia_cum_cases,ind_new_cases,usa_new_cases,china_new_cases,russia_new_cases,brazil_new_cases
2020-10-14,7239389,7521056,5103408,1340409,63509,0,28,14231,8429
2020-10-15,7307097,7521056,5113628,1354163,67708,0,11,13754,10220
2020-10-16,7370468,7890441,5140863,1369313,63371,369385,36,15150,27235
2020-10-17,7432680,7890441,5169386,1384235,62212,0,25,14922,28523
2020-10-18,7494551,7890441,5200300,1399334,61871,0,30,15099,30914
2020-10-19,7550273,7890441,5224362,1415316,55722,0,17,15982,24062
2020-10-20,7597063,7890441,5235344,1431635,46790,0,39,16319,10982
2020-10-21,7651107,7890441,5250727,1447335,54044,0,19,15700,15383
2020-10-22,7706946,7890441,5273954,1463306,55839,0,23,15971,23227
2020-10-23,7761312,8322629,5298772,1480646,54366,432188,33,17340,24818
2020-10-24,7814682,8322629,5323630,1497167,53370,0,32,16521,24858
2020-10-25,7864811,8322629,5353656,1513877,50129,0,22,16710,30026
2020-10-26,7909959,8322629,5380635,1531224,45148,0,26,17347,26979
2020-10-27,7946429,8322629,5394128,1547774,36470,0,24,16550,13493
2020-10-28,7990322,8322629,5409854,1563976,43893,0,47,16202,15726
2020-10-29,8040203,8322629,5439641,1581693,49881,0,50,17717,29787
2020-10-30,8088851,8847999,5468270,1599976,48648,525370,31,18283,28629
2020-10-31,8137119,8847999,5494376,1618116,48268,0,41,18140,26106
2020-11-01,8184082,8847999,5516658,1636781,46963,0,28,18665,22282
2020-11-02,8229313,8847999,5535605,1655034,45231,0,34,18253,18947
2020-11-03,8267623,8847999,5545705,1673686,38310,0,60,18652,10100
2020-11-04,8313876,8847999,5554206,1693454,46253,0,30,19768,8501
2020-11-05,8364086,8847999,5566049,1712858,50210,0,32,19404,11843
2020-11-06,8411724,9550053,5590025,1733440,47638,702054,44,20582,23976
2020-11-07,8462080,9550053,5612319,1753836,50356,0,43,20396,22294
2020-11-08,8507754,9550053,5631181,1774334,45674,0,31,20498,18862
2020-11-09,8553657,9550053,5653561,1796132,45903,0,47,21798,22380
2020-11-10,8591730,9550053,5664115,1817109,38073,0,29,20977,10554
2020-11-11,8636011,9550053,5675032,1836960,44281,0,28,19851,10917
2020-11-12,8683916,9550053,5700044,1858568,47905,0,37,21608,25012
2020-11-13,8728795,10467715,5748375,1880551,44879,917662,36,21983,48331
2020-11-14,8773479,10467715,5781582,1903253,44684,0,32,22702,33207
2020-11-15,8814579,10467715,5810652,1925825,41100,0,24,22572,29070
2020-11-16,8845127,10467715,5848959,1948603,30548,0,24,22778,38307
2020-11-17,8874290,10467715,5863093,1971013,29163,0,24,22410,14134
2020-11-18,8912907,10467715,5876464,1991998,38617,0,14,20985,13371
2020-11-19,8958483,10467715,5911758,2015608,45576,0,23,23610,35294
2020-11-20,9004365,11607188,5945849,2039926,45882,1139473,31,24318,34091
2020-11-21,9050597,11607188,5981767,2064748,46232,0,44,24822,35918
2020-11-22,9095806,11607188,6020164,2089329,45209,0,60,24581,38397
2020-11-23,9139865,11607188,6052786,2114502,44059,0,85,25173,32622
2020-11-24,9177840,11607188,6071401,2138828,37975,0,96,24326,18615
2020-11-25,9222216,11607188,6087608,2162503,44376,0,85,23675,16207
2020-11-26,9266705,11607188,6118708,2187990,44489,0,111,25487,31100
2020-11-27,9309787,12854787,6166606,2215533,43082,1247599,88,27543,47898
2020-11-28,9351109,12854787,6204220,2242633,41322,0,112,27100,37614
2020-11-29,9392919,12854787,6238350,2269316,41810,0,104,26683,34130
2020-11-30,9431691,12854787,6290272,2295654,38772,0,136,26338,51922
2020-12-01,9462809,12854787,6314740,2322056,31118,0,112,26402,24468
2020-12-02,9499413,12854787,6335878,2347401,36604,0,91,25345,21138
2020-12-03,9534964,12854787,6386787,2375546,35551,0,129,28145,50909
2020-12-04,9571559,14024514,6436650,2402949,36595,1169727,108,27403,49863
2020-12-05,9608211,14024514,6487084,2431731,36652,0,133,28782,50434
2020-12-06,9644222,14024514,6533968,2460770,36011,0,122,29039,46884
2020-12-07,9677203,14024514,6577177,2488912,32981,0,133,28142,43209
2020-12-08,9703770,14024514,6603540,2515009,26567,0,90,26097,26363
2020-12-09,9735850,14024514,6623911,2541199,32080,0,117,26190,20371
